Grammy Song,Genre,Artist,Featured Artist,Year Win,Grammy,Peak,Week Avg,Weeks on Chart
this is America,General,Childish Gambino,0,2018,3,1,33.88235294,17
Joanne (where Do you Think You're Goin'?),Pop,,,2018,1,,,
Shallow,Pop,"Lady Gaga, Bradley Cooper",0,2018,2,1,24.15384615,39
Electricity,Dance/Electronic Music,"Silk City, Dua Lipa",0,2018,1,62,86.8,10
when Bad Does Good,Rock,,,2018,1,,,
Electric Messiah,Rock,,,2018,1,,,
Masseduction,Rock,,,2018,1,,,
Best Part,R&B,Daniel Caesar,H.E.R.,2018,1,75,86.36842105,19
How Deep is your Love,R&B,"Calvin Harris, Disciples",0,2018,1,27,48.8,20
Boo'd Up,R&B,Ella Mai,0,2018,1,5,25.68571429,35
Bubblin,Rap,,,2018,1,,,
God's Plan,Rap,Drake,0,2018,1,1,11.25,36
Butterflies,Country,,,2018,1,14,31.15789474,20
Tequila,Country,Dan + Shay,0,2018,1,21,43.76,50
Space Cowboy,Country,,,2018,1,,,
Don't Fence Me in,Jazz,,,2018,1,,,
Never Alone,Gospel/Contemporary Christian Music,,,2018,1,,,
you Say,Gospel/Contemporary Christian Music,Lauren Daigle,0,2018,1,29,53.44186047,43
The Joke,American Roots Music,,,2018,2,,,
24k Magic,General,Bruno Mars,0,2017,1,4,22.51219512,41
That's What i Like,General,Bruno Mars,0,2017,3,1,19.05882353,52
Shape of you,Pop,Ed Sheeran,0,2017,1,1,12.31034483,59
Feel it Still,Pop,Portugal. The Man,0,2017,1,4,29.70454545,45
Tonite,Dance/Electronic Music,,,2017,1,,,
you Want it Darker,Rock,,,2017,1,,,
Sultanâ€™s Curse,Rock,,,2017,1,,,
Run,Rock,,,2017,1,NA,52.13636364,NA
Redbone,R&B,Childish Gambino,0,2017,1,12,46.68181818,44
Humble.,Rap,Kendrick Lamar,0,2017,2,1,20.51351351,37
Loyalty.,Rap,Kendrick Lamar,Rihanna,2017,1,14,51.73076923,26
Either Way,Country,Chris Stapleton,0,2017,1,89,94,2
Better Man,Country,Little Big Town,0,2017,1,34,53.55,20
Broken Halos,Country,Chris Stapleton,0,2017,1,45,74.25,20
Miles Beyond,Jazz,,,2017,1,,,
Never Have to be Alone,Gospel/Contemporary Christian Music,,,2017,1,,,
What a Beautiful Name,Gospel/Contemporary Christian Music,,,2017,1,,,
Killer Diller Blues,American Roots Music,,,2017,1,,,
If We Were Vampires,American Roots Music,,,2017,1,,,
How Far I'll Go,Composing/Arranging,Auli'i Cravalho,0,2017,1,41,70.30769231,20
Hello,General,Adele,0,2016,3,1,38.85454545,26
Stressed Out,Pop,twenty one pilots,0,2016,1,2,30.46153846,52
Don't Let Me Down,Dance/Electronic Music,The Chainsmokers,Daya,2016,1,3,22.76923077,52
Blackstar,Rock,David Bowie,0,2016,2,NA,79,NA
Dystopia,Rock,,,2016,1,,,
Cranes in the Sky,R&B,Solange,0,2016,1,74,88,2
Angel,R&B,,,2016,1,56,50.54878049,10
Lake by the Ocean,R&B,,,2016,1,,,
No Problem,Rap,Chance The Rapper,"Lil Wayne, 2 Chainz",2016,1,43,67.06521739,26
Hotline Bling,Rap,Drake,0,2016,2,2,17.27777778,36
My Church,Country,Maren Morris,0,2016,1,50,62.15,20
Jolene,Country,,,2016,1,,,
Humble and Kind,Country,Tim McGraw,0,2016,1,30,54,20
Iâ€™m so Lonesome i Could Cry,Jazz,,,2016,1,,,
God Provides,Gospel/Contemporary Christian Music,,,2016,1,,,
Thy will,Gospel/Contemporary Christian Music,,,2016,1,,,
House of Mercy,American Roots Music,,,2016,1,,,
Kid Sister,American Roots Music,,,2016,1,,,
Can't Stop the Feeling!,Composing/Arranging,Justin Timberlake,0,2016,1,1,19.84615385,52
Uptown Funk,General,,,2015,2,,,
Thinking Out Loud,General,Ed Sheeran,0,2015,2,2,25.84482759,58
where are Ã¼ Now,Dance/Electronic Music,,,2015,1,,,
Don't Wanna Fight,Rock,,,2015,2,,,
Cirice,Rock,,,2015,1,,,
Earned it (Fifty Shades of Grey),R&B,,,2015,1,,,
Little Ghetto Boy,R&B,,,2015,1,,,
Really Love,R&B,,,2015,1,,,
